hotel_nombre;consumo_energia_kwh;residuos_generados_kg;porcentaje_reciclaje;uso_agua_m3;fecha
Alletra Diamond Grand Hotel;3077;1821;735;4977;2019-01-01
ProLiant Towers;2253;1319;715;3145;2019-01-01
Aruba Luxury Lodge;3824;1672;897;4179;2019-01-01
InfoSight Boutique Hotel;1701;1070;827;4911;2019-01-01
Primera Grand;2970;1547;946;3907;2019-01-01
dHCI Executive Boutique Hotel;2919;1363;907;3051;2019-01-01
ProLiant Haven;2357;1812;819;3182;2019-01-01
Apollo Executive Beach Resort;2832;1936;567;3813;2019-01-01
Aruba Lodge;3826;1630;809;3080;2019-01-01d
Alletra Haven;2717;1789;908;3554;2019-01-01
dHCI Platinum Beach Resort;3504;1145;612;3338;2019-01-01
GreenLake Platinum Heritage Inn;3968;1761;731;3919;2019-01-01
Pointnext Signature Residences & Suites;1950;1404;642;4600;2019-01-01
ProLiant Place;2401;1532;726;3727;2019-01-01
Synergy Golden Grand Hotel;2089;1168;709;4111;2019-01-01
Alletra Resort;3272;1680;614;3202;2019-01-01
GreenLake Digital Business Suites;2262;1719;938;4611;2019-01-01
Apollo Resort & Spa;1506;1183;515;4987;2019-01-01
Nimble Inn;1493;1120;804;3563;2019-01-01
Ezmeral Grand Hotel;2695;1427;685;4173;2019-01-01
Alletra Boutique Hotel;1488;1630;862;4776;2019-01-01
Simplivity Golden Plaza Hotel;1288;1758;908;4011;2019-01-01
Cray Villas;2182;1072;657;4618;2019-01-01
Apollo Diamond Suites;2683;1874;504;4091;2019-01-01
Apollo Towers;1146;1927;757;4423;2019-01-01
Alletra Diamond Grand Hotel;3064;1416;722;4440;2019-01-02
ProLiant Towers;2609;1397;877;4403;2019-01-02
Aruba Luxury Lodge;1329;1743;673;3518;2019-01-02
InfoSight Boutique Hotel;3172;1885;752;4090;2019-01-02
Primera Grand;3800;1433;615;4718;2019-01-02
dHCI Executive Boutique Hotel;2705;1791;583;3579;2019-01-02
ProLiant Haven;3877;1180;791;3249;2019-01-02
Apollo Executive Beach Resort;2793;1924;722;4192;2019-01-02
Aruba Lodge;3159;1881;554;3237;2019-01-02
Alletra Haven;2134;1304;856;4882;2019-01-02
dHCI Platinum Beach Resort;1603;1614;710;4962;2019-01-02
