hotel_nombre;fecha;tasa_ocupacion;reservas_confirmadas;cancelaciones;precio_promedio_noche
Alletra Diamond Grand Hotel;01/01/2019;44;122;10;15011
ProLiant Towers;01/01/2019;54;233;28;12984
Aruba Luxury Lodge;01/01/2019;44;98;9;11791
InfoSight Boutique Hotel;01/01/2019;40;187;11;10207
Primera Grand;01/01/2019;42;171;26;974
dHCI Executive Boutique Hotel;01/01/2019;43;128;15;9835
ProLiant Haven;01/01/2019;56;182;33;17142
Apollo Executive Beach Resort;01/01/2019;52;107;19;16187
Aruba Lodge;01/01/2019;45;90;9;16281
Alletra Haven;01/01/2019;57;266;46;16836
dHCI Platinum Beach Resort;01/01/2019;53;192;26;12638
GreenLake Platinum Heritage Inn;01/01/2019;37;104;12;11578
Pointnext Signature Residences & Suites;01/01/2019;51;205;22;11783
ProLiant Place;01/01/2019;44;209;41;1410
Synergy Golden Grand Hotel;01/01/2019;59;187;25;1122
Alletra Resort;01/01/2019;50;164;29;11817
GreenLake Digital Business Suites;01/01/2019;38;119;9;11284
Apollo Resort & Spa;01/01/2019;54;250;22;20673
Nimble Inn;01/01/2019;43;118;7;9467
Ezmeral Grand Hotel;01/01/2019;47;101;19;11808
Alletra Boutique Hotel;01/01/2019;32;138;20;13027
Simplivity Golden Plaza Hotel;01/01/2019;60;164;28;18456
Cray Villas;01/01/2019;37;88;13;12873
Apollo Diamond Suites;01/01/2019;36;122;10;11256
Apollo Towers;01/01/2019;49;187;30;11022
Alletra Diamond Grand Hotel;02/01/2019;56;139;13;17081
ProLiant Towers;02/01/2019;59;173;26;22206
Aruba Luxury Lodge;02/01/2019;42;202;16;14174
InfoSight Boutique Hotel;02/01/2019;56;217;14;19252
Primera Grand;02/01/2019;57;231;39;19777
dHCI Executive Boutique Hotel;02/01/2019;48;208;21;13912
ProLiant Haven;02/01/2019;41;90;13;9204
Apollo Executive Beach Resort;02/01/2019;43;192;12;17563
Aruba Lodge;02/01/2019;50;233;27;1153
Alletra Haven;02/01/2019;35;147;28;10391
dHCI Platinum Beach Resort;02/01/2019;55;261;43;15614
GreenLake Platinum Heritage Inn;02/01/2019;56;234;21;20139
Pointnext Signature Residences & Suites;02/01/2019;56;269;24;15649
ProLiant Place;02/01/2019;54;183;25;14493
Synergy Golden Grand Hotel;02/01/2019;30;104;10;10925
Alletra Resort;02/01/2019;41;180;18;16319
GreenLake Digital Business Suites;02/01/2019;52;241;32;15573
Apollo Resort & Spa;02/01/2019;36;81;12;12118
Nimble Inn;02/01/2019;54;146;17;18088
Ezmeral Grand Hotel;02/01/2019;44;192;12;1135
Alletra Boutique Hotel;02/01/2019;52;141;21;14038
Simplivity Golden Plaza Hotel;02/01/2019;47;168;19;16712
Cray Villas;02/01/2019;40;122;14;11453
Apollo Diamond Suites;02/01/2019;37;87;6;9585
Apollo Towers;02/01/2019;47;228;35;1150
Alletra Diamond Grand Hotel;03/01/2019;53;182;28;20652
ProLiant Towers;03/01/2019;46;174;34;1726
Aruba Luxury Lodge;03/01/2019;39;104;7;901
InfoSight Boutique Hotel;03/01/2019;47;111;6;10213
Primera Grand;03/01/2019;39;159;10;15674
dHCI Executive Boutique Hotel;03/01/2019;45;103;5;12059
ProLiant Haven;03/01/2019;45;149;11;9962
Apollo Executive Beach Resort;03/01/2019;60;275;18;11784
Aruba Lodge;03/01/2019;45;100;14;9982
Alletra Haven;03/01/2019;34;150;28;8979
dHCI Platinum Beach Resort;03/01/2019;37;87;14;13187
GreenLake Platinum Heritage Inn;03/01/2019;55;212;35;14684
Pointnext Signature Residences & Suites;03/01/2019;59;196;35;22582
ProLiant Place;03/01/2019;39;144;8;16389
Synergy Golden Grand Hotel;03/01/2019;33;159;12;9693
Alletra Resort;03/01/2019;51;114;9;1573
GreenLake Digital Business Suites;03/01/2019;35;70;8;12657
Apollo Resort & Spa;03/01/2019;39;81;7;11105
Nimble Inn;03/01/2019;57;191;29;21233
Ezmeral Grand Hotel;03/01/2019;55;240;33;19343
Alletra Boutique Hotel;03/01/2019;36;117;15;13263
Simplivity Golden Plaza Hotel;03/01/2019;59;165;11;11604
Cray Villas;03/01/2019;55;160;25;16761
Apollo Diamond Suites;03/01/2019;39;129;15;11272
Apollo Towers;03/01/2019;42;202;25;13348
Alletra Diamond Grand Hotel;04/01/2019;32;121;22;12901
ProLiant Towers;04/01/2019;49;134;8;19327
Aruba Luxury Lodge;04/01/2019;56;256;35;10832
InfoSight Boutique Hotel;04/01/2019;54;216;19;10835
Primera Grand;04/01/2019;54;136;17;15176
dHCI Executive Boutique Hotel;04/01/2019;38;96;13;13624
ProLiant Haven;04/01/2019;45;220;26;13175
Apollo Executive Beach Resort;04/01/2019;40;160;28;11638
Aruba Lodge;04/01/2019;52;181;27;14365
Alletra Haven;04/01/2019;54;197;23;13797
dHCI Platinum Beach Resort;04/01/2019;40;93;15;15919
GreenLake Platinum Heritage Inn;04/01/2019;56;278;41;16677
Pointnext Signature Residences & Suites;04/01/2019;43;92;11;14655
ProLiant Place;04/01/2019;45;174;28;11332
Synergy Golden Grand Hotel;04/01/2019;47;112;10;1798
Alletra Resort;04/01/2019;45;106;20;1498
GreenLake Digital Business Suites;04/01/2019;37;152;14;8801
Apollo Resort & Spa;04/01/2019;43;98;19;17151
Nimble Inn;04/01/2019;44;213;31;10755
Ezmeral Grand Hotel;04/01/2019;59;244;30;14126
Alletra Boutique Hotel;04/01/2019;56;193;23;15716
Simplivity Golden Plaza Hotel;04/01/2019;34;107;20;11856
Cray Villas;04/01/2019;58;139;8;19763
Apollo Diamond Suites;04/01/2019;57;184;34;16488
Apollo Towers;04/01/2019;56;112;17;1998
Alletra Diamond Grand Hotel;05/01/2019;63;218;15;18086
ProLiant Towers;05/01/2019;51;186;24;14745
Aruba Luxury Lodge;05/01/2019;48;237;20;13477
InfoSight Boutique Hotel;05/01/2019;68;144;23;21391
Primera Grand;05/01/2019;66;208;31;22434
dHCI Executive Boutique Hotel;05/01/2019;46;225;15;18481
ProLiant Haven;05/01/2019;46;212;24;14439
Apollo Executive Beach Resort;05/01/2019;49;204;22;16317
Aruba Lodge;05/01/2019;40;136;26;11708
Alletra Haven;05/01/2019;63;248;44;2204
dHCI Platinum Beach Resort;05/01/2019;70;219;21;22062
GreenLake Platinum Heritage Inn;05/01/2019;66;304;16;12503
Pointnext Signature Residences & Suites;05/01/2019;65;309;61;21208
ProLiant Place;05/01/2019;49;209;32;10885
Synergy Golden Grand Hotel;05/01/2019;44;207;11;16406
Alletra Resort;05/01/2019;49;153;10;15105
